Filas,Columnas,Ejecucion 1,Ejecucion 2,Ejecucion 3,Ejecucion 4,Ejecucion 5
100,100,0.000025,0.000025,0.000024,0.000023,0.000024
100,1000,0.000218,0.000230,0.000218,0.000261,0.000217
100,10000,0.002348,0.002205,0.002605,0.002382,0.002093
100,100000,0.023081,0.024330,0.023435,0.024029,0.023438
100,1000000,0.231702,0.230132,0.228320,0.231956,0.235820
1000,100,0.000215,0.000212,0.000212,0.000212,0.000213
1000,1000,0.002340,0.002133,0.002147,0.002150,0.002897
1000,10000,0.023166,0.021944,0.022154,0.022350,0.021812
1000,100000,0.226807,0.232257,0.234182,0.231350,0.233266
10000,100,0.002542,0.004053,0.002206,0.002140,0.002244
10000,1000,0.023994,0.023884,0.023681,0.023808,0.023552
10000,10000,0.234393,0.225061,0.228546,0.228021,0.228811
100000,100,0.024824,0.026245,0.025780,0.027783,0.026839
100000,1000,0.234415,0.230785,0.234172,0.234768,0.237087
1000000,100,0.243665,0.242084,0.242113,0.240800,0.248205
